,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
21,ROOFTOP,"60, Jalan Sri Hartamas 1, Taman Sri Hartamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJQdVhI_dIzDERjqhpE-AGlew,Hartamas Shopping Centre,3.1638972,101.6566027,1,50480,OK,"establishment,point_of_interest,shopping_mall"
22,ROOFTOP,"2A, Jalan Cochrane, Maluri, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJdRZFXzw2zDER5LPHvYl-DeM,IKEA Cheras,3.1351537,101.7211894,1,55100,OK,"establishment,furniture_store,home_goods_store,point_of_interest,store"
23,GEOMETRIC_CENTER,"Jalan Imbi, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJ2T6f3yg2zDERCa7pS_8xabQ,Imbi Plaza,3.1438109,101.7112198,1,55100,OK,"establishment,point_of_interest,premise,shopping_mall"
24,ROOFTOP,"348, Jalan Tun Razak, Kampung Datuk Keramat, 50400 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJVXXIZcU3zDERkpdEfCQBDT8,Intermark Mall,3.1616763,101.720359,1,50400,OK,"establishment,point_of_interest,shopping_mall"
25,ROOFTOP,"2, Jalan Gelugor, Pudu, 55200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJC_fmviA2zDERcNJ1DVxiL1M,Kenanga Wholesale City,3.1363717,101.7082905,1,55200,OK,"clothing_store,establishment,point_of_interest,store"
26,ROOFTOP,"1-02, 2, Jalan Kerinchi, Pantai Dalam, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJq6reQYBJzDERGDH3SiooRZI,KL Gateway,3.1139835,101.6630791,2,59200,OK,"establishment,point_of_interest,shopping_mall"
27,ROOFTOP,"106 S Cayuga St, Ithaca, NY 14850, USA",ChIJp4SWV5yB0IkR4XnTSNaeRU4,Lot 10,42.4392676,-76.4992313,1,14850,OK,"bar,establishment,night_club,point_of_interest"
28,ROOFTOP,"7, Jalan Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJYYacASk2zDERh3Iqf0NTR1g,Low Yat Plaza,3.14409,101.709917,1,55100,OK,"establishment,point_of_interest,shopping_mall"
29,ROOFTOP,"133 Neal St, Grass Valley, CA 95945, USA",ChIJMeknKDdwm4ARMoPX5ZqN06g,M3 Mall,39.2170794,-121.0631192,1,95945,OK,"establishment,health,point_of_interest,store"
30,ROOFTOP,"LOT F-049&050,1ST, Mid Valley Megamall, Mid Valley City, 58000 Kuala Lumpur, Malaysia",ChIJIfr-rI5JzDERufYjnPbahVM,Mid Valley Megamall,3.117855,101.677844,1,58000,OK,"establishment,point_of_interest,store"
